"sl.
no",state/u.t. (code),region_code,description,sl. no.,name of district,district_code,,
,,201,,230,Pashchimi Singhbhum,(23),,
,,201,,231,Saraikela-Kharsawan,(24),,
34,,202,Hazaribagh,232,Chatra,(02),,
,,202,Plateau,233,Kodarma,(03),,
,,202,,234,Giridih,(04),,
,,202,,235,Deoghar,(05),,
,,202,,236,Godda,(06),,
,,202,,237,Sahibganj,(07),,
,,202,,238,Pakur,(08),,
,,202,,239,Dhanbad,(09),,
,,202,,240,Bokaro,(10),,
,,202,,241.,Hazaribagh,(15),,
,,202,,242.,Ramgarh,(16),,
,,202,,243.,Dumka,(17),,
,,202,,244.,Jamtara,(18),,
35,"Karnataka
(29)",291,"Coastal &
Ghats","245.
246.",Uttara Kannada,(09),,
,,291,,,Udupi,(15),,
,,291,,247.,Dakshina Kannada,(21),,
36,,292,"Inland
Eastern","248.
249.
250.",Shimoga,(14),,
,,292,,,Chikmagalur,(16),,
,,292,,,Hassan,(20),,
,,292,,251.,Kodagu,(22),,
37,,293,"Inland
Southern","252.
253.
254.",Tumkur,(17),,
,,293,,,Bangalore,(18),,
,,293,,,Mandya,(19),,
,,293,,255.,Mysore,(23),,
,,293,,256.,Chamarajanagar,(24),,
,,293,,257.,Kolar,(27),,
,,293,,258.,Chikkaballapura,(28),,
,,293,,259.,Bangalore Rural,(29),,
,,293,,260.,Ramanagara,(30),,
38,,294,Inland,261.,Belgaum,(01),,
,,294,Northern,262.,Bagalkot,(02),,
,,294,,263.,Bijapur,(03),,
,,294,,264.,Bidar,(04),,
,,294,,265.,Raichur,(05),,
,,294,,266.,Koppal,(06),,
,,294,,267.,Gadag,(07),,
,,294,,268.,Dharwad,(08),,
,,294,,269.,Haveri,(10),,
,,294,,270.,Bellary,(11),,
,,294,,271.,Chitradurga,(12),,
,,294,,272.,Davanagere,(13),,
,,294,,273.,Gulbarga,(25),,
,,294,,274.,Yadgir,(26),,
39,Kerala,321,Northern,275.,Kasaragod,(01),,
,(32),321,,276.,Kannur,(02),,
,,321,,277.,Wayanad,(03),,
,,321,,278.,Kozhikode,(04),,
,,321,,279.,Malappuram,(05),,
,,321,,280.,Palakkad,(06),,
40,,322,Southern,281.,Thrissur,(07),,
,,322,,282.,Ernakulam,(08),,
,,322,,283.,Idukki,(09),,
,,322,,284.,Kottayam,(10),,
,,322,,285.,Alappuzha,(11),,
,,322,,286.,Pathanamthitta,(12),,
,,322,,287.,Kollam,(13),,
,,322,,288.,Thiruvananthapuram,(14),,
41,"Lakshadweep
(31)",311,Lakshadweep,289.,Lakshadweep,(01),,
42,"Madhya
Pradesh",231,Vindhya,"290.
291.",Tikamgarh,(07),,
,,231,,,Chhatarpur,(08),,
,(23),231,,292.,Panna,(09),,
,,231,,293.,Satna,(12),,
,,231,,294.,Rewa,(13),,
,,231,,295.,Umaria,(14),,
,,231,,296.,Shahdol,(43),,
,,231,,297.,Anuppur,(44),,
,,231,,298.,Sidhi,(45),,
,,231,,299.,Singrauli,(46),,
43,,232,Central,300.,Sagar,(10),,
,,232,,301.,Damoh,(11),,
,,232,,302.,Vidisha,(26),,
,,232,,303.,Bhopal,(27),,
,,232,,304.,Sehore,(28),,
,,232,,305.,Raisen,(29),,
44,,233,Malwa,306.,Neemuch,(15),,
,,233,,307.,Mandsaur,(16),,
,,233,,308.,Ratlam,(17),,
,,233,,309.,Ujjain,(18),,
,,233,,310.,Shajapur,(19),,
,,233,,311.,Dewas,(20),,
,,233,,312.,Dhar,(21),,
,,233,,313.,Indore,(22),,
,,233,,314.,Rajgarh,(25),,
,,233,,315.,Jhabua,(47),,
,,233,,316.,Alirajpur,(48),,
45,,234,South,317.,Katni,(33),,
,,234,,318.,Jabalpur,(34),,
,,234,,319.,Narsimhapur,(35),,
,,234,,320.,Dindori,(36),,
,,234,,321.,Mandla,(37),,
,,234,,322.,Chhindwara,(38),,
,,234,,323.,Seoni,(39),,
,,234,,324.,Balaghat,(40),,
46,,235,South,325.,Khargone (West Nimar),(23),,
,,235,Western,326.,Barwani,(24),,
,,235,,327.,Betul,(30),,
,,235,,328.,Harda,(31),,
,,235,,329.,Hoshangabad,(32),,
,,235,,330.,Khandwa (East Nimar),(49),,
,,235,,331.,Burhanpur,(50),,
47,,236,Northern,332.,Sheopur,(01),,
,,236,,333.,Morena,(02),,
,,236,,334.,Bhind,(03),,
,,236,,335.,Gwalior,(04),,
,,236,,336.,Datia,(05),,
,,236,,337.,Shivpuri,(06),,
,,236,,338.,Guna,(41),,
,,236,,339.,Ashoknagar,(42),,
48,Maharashtra,271,Coastal,340.,Thane,(21),,
,(27),271,,341.,Mumbai Suburban,(22),,
,,271,,342.,Mumbai,(23),,
,,271,,343.,Raigarh,(24),,
,,271,,344.,Ratnagiri,(32),,
,,271,,345.,Sindhudurg,(33),,
49,,272,"Inland
Western","346.
347.
348.",Pune,(25),,
,,272,,,Ahmadnagar,(26),,
,,272,,,Solapur,(30),,
,,272,,349.,Satara,(31),,
,,272,,350.,Kolhapur,(34),,
,,272,,351.,Sangli,(35),,
50,,273,Inland,352.,Nandurbar,(01),,
,,273,Northern,353.,Dhule,(02),,
,,273,,354.,Jalgaon,(03),,
,,273,,355.,Nashik,(20),,
51,,274,Inland,356.,Nanded,(15),,
,,274,Central,357.,Hingoli,(16),,
,,274,,358.,Parbhani,(17),,
,,274,,359.,Jalna,(18),,
,,274,,360.,Aurangabad,(19),,
,,274,,361.,Bid,(27),,
,,274,,362.,Latur,(28),,
,,274,,363.,Osmanabad,(29),,
52,,275,Inland,364.,Buldana,(04),,
,,275,Eastern,365.,Akola,(05),,
,,275,,366.,Washim,(06),,
,,275,,367.,Amravati,(07),,
,,275,,368.,Wardha,(08),,
,,275,,369.,Nagpur,(09),,
,,275,,370.,Yavatmal,(14),,
53,,276,Eastern,371.,Bhandara,(10),,
,,276,,372.,Gondiya,(11),,
,,276,,373.,Gadchiroli,(12),,
,,276,,374.,Chandrapur,(13),,
54,"Manipur
(14)",141,Plains,"375.
376.",Bishnupur,(04),,
,,141,,,Thoubal,(05),,
,,141,,377.,Imphal West,(06),,
,,141,,378.,Imphal East,(07),,
55,,142,Hills,379.,Senapati,(01),,
,,142,,380.,Tamenglong,(02),,
,,142,,381.,Churachandpur,(03),,
,,142,,382.,Ukhrul,(08),,
,,142,,383.,Chandel,(09),,
56,"Meghalaya
(17)",171,Meghalaya,"384.
385.
386.
387.
388.",West Garo Hills,(01),,
,,171,,,East Garo Hills,(02),,
,,171,,,South Garo Hills,(03),,
,,171,,,West Khasi Hills,(04),,
,,171,,,Ribhoi,(05),,
,,171,,389.,East Khasi Hills,(06),,
,,171,,390.,Jaintia Hills,(07),,
57,"Mizoram
(15)",151,Mizoram,"391.
392.
393.
394.
395.
396.
397.
398.",Mamit,(01),,
,,151,,,Kolasib,(02),,
,,151,,,Aizwal,(03),,
,,151,,,Champhai,(04),,
,,151,,,Serchhip,(05),,
,,151,,,Lunglei,(06),,
,,151,,,Lawngtlai,(07),,
,,151,,,Saiha,(08),,
58,Nagaland,131,Nagaland,399.,Mon,(01),,
,(13),131,,400.,Mokokchung,(02),,
,,131,,401.,Zunheboto,(03),,
,,131,,402.,Wokha,(04),,
,,131,,403.,Dimapur,(05),,
,,131,,404.,Phek,(06),,
,,131,,405.,Tuensang,(07),,
,,131,,406.,Longleng,(08),,
,,131,,407.,Kiphire,(09),,
,,131,,408.,Kohima,(10),,
,,131,,409.,Peren,(11),,
59,Odisha,211,Coastal,410.,Baleshwar,(08),,
